"","SUBJ_ID","YA_Education"
"812","CC321036",1
"813","CC321042",NA
"814","CC321043",NA
"815","CC321053",NA
"816","CC321069",4
"817","CC321073",6
"818","CC321078",NA
"819","CC321084",8
"820","CC321087",6
"821","CC321096",NA
"822","CC321097",NA
"823","CC321107",4
"824","CC321115",NA
"825","CC321119",NA
"826","CC321120",7
"827","CC321125",NA
"828","CC321137",6
"829","CC321139",6
"830","CC321140",6
"831","CC321142",8
"832","CC321146",NA
"833","CC321147",8
"834","CC321153",NA
"835","CC321154",6
"836","CC321167",7
"837","CC321174",6
"838","CC321179",7
"839","CC321184",NA
"840","CC321188",NA
"841","CC321201",3
"842","CC321203",NA
"843","CC321212",6
"844","CC321215",6
"845","CC321238",1
"846","CC321241",NA
"847","CC321254",NA
"848","CC321262",NA
"849","CC321268",4
"850","CC321281",7
"851","CC321291",7
"852","CC321305",NA
"853","CC321324",NA
"854","CC321326",NA
"855","CC321327",6
"856","CC321331",NA
"857","CC321333",NA
"858","CC321338",NA
"859","CC321351",8
"860","CC321359",NA
"861","CC321361",7
"862","CC321368",4
"863","CC321402",NA
"864","CC321428",NA
"865","CC321431",NA
"866","CC321435",6
"867","CC321452",NA
"868","CC321464",8
"869","CC321466",6
"870","CC321480",3
"871","CC321481",6
"872","CC321488",8
"873","CC321493",6
"874","CC321504",7
"875","CC321506",3
"876","CC321510",NA
"877","CC321512",5
"878","CC321520",NA
"879","CC321529",6
"880","CC321541",NA
"881","CC321542",NA
"882","CC321544",6
"883","CC321546",6
"884","CC321557",1
"885","CC321567",3
"886","CC321571",NA
"887","CC321577",7
"888","CC321583",NA
"889","CC321584",NA
"890","CC321585",8
"891","CC321594",7
"892","CC321595",6
"893","CC321626",2
"894","CC321627",NA
"895","CC321631",NA
"896","CC321648",NA
"897","CC321679",6
"898","CC321693",7
"899","CC321715",8
"900","CC321737",6
"901","CC321748",3
"902","CC321765",8
"903","CC321795",6
"904","CC321852",7
"905","CC321880",3
"906","CC321885",NA
"907","CC321899",6
"908","CC321976",NA
